docName	sentence
Anthony_Wagner	Sir Anthony Richard Wagner ( 6 September , 1908-5 May 1995 ) was an officer of arms from England .
Anthony_Wagner	Wagner wrote many books about heraldry .
Anthony_Wagner	He became Portcullis Pursuivant in 1931 and then served in the Army during World War II .
Anthony_Wagner	He became Garter King of Arms in 1961 and served until 1978 .
Anthony_Wagner	Wagner was made a knight in 1961 .
Anthony_Wagner	Even though he was blind when he was older , he still served at the College of Arms until he died in 1995 .
AAC	AAC is a file format for storing music or other sounds .
AAC	It stands for Advanced Audio Coding or Advanced Audio Codec .
AAC	It is used by Apple Inc. in the iPod and iTunes .
AAC	AAC is one of the standard formats that comes from the MPEG organization , the same people who invented MP3 .
AAC	There are several flavors of AAC .
AAC	These are the most popular : AAC LC-the format used by Apple software ; it takes up more space and is used for music stored on an iPod , CD-ROM , or disk drive .
AAC	HE-AAC v1-a more efficient format ; it saves space for music sent over a network , like over the Internet or to a cell phone .
AAC	Brand names for this format include aacPlus ™ , Nero Digital ™ , and AAC + .
AAC	HE-AAC v2-an even more efficient format for music sent over a network .
AAC	Brand names for this format include aacPlus ™ v2 , eAAC + ™ , and AAC + Enhanced ™ .
AAC	Here are some common AAC file name endings : .
AAC	aac-music only .
AAC	.
AAC	m4a-music and information .
AAC	m4p-music and information , with DRM .
AAC	m4b-speech and information , `` Audiobook '' recognized by Apple that keeps the listener 's position .
AAC	m4r-music and information used by Apple as a ringtone .
AAC	mp4-music , video , or both , plus information .
AAC	An AAC file that has only music and information could have a name that ends with either .
AAC	m4a or .
AAC	mp4 .
AAC	A KDE\/Qt application for Linux\/Unix called easytag will edit metadata about AAC-encoded files as long as they end with the .
AAC	m4a extension .
AAC	Typically , renaming file files to .
AAC	m4a and back to the original extension after editing is sufficient .
AAC	This method can be used to configure typical ID3v2 metadata including cover art .
AAC	This cover art is used by Apple 's iTunes and their media players .
AAC	Note that easytag does not have the ability to add chapter points into Audiobooks ( .
AAC	m4b ) .
Absolute_zero	In theory , absolute zero is the temperature where the particles of matter stop moving .
Absolute_zero	Absolute zero is impossible to achieve , because all particles move , even if it is just a small vibration .
Absolute_zero	Some people have created temperatures very close to absolute zero , but the record temperature was 100 pK ( Picokelvin ) above absolute zero .
Absolute_zero	Even getting close to absolute zero is difficult because anything that touches an object being cooled near absolute zero would give heat to the objects .
Absolute_zero	Scientists use lasers to slow atoms when cooling objects to very low temperatures .
Absolute_zero	The Kelvin and Rankine temperature scales are defined so that absolute zero is 0 kelvins ( K ) or 0 degrees Rankine ( ° R ) .
Absolute_zero	The Celsius and Fahrenheit scales are defined so that absolute zero is − 273.15 ° C or − 459.67 ° F. At this stage the pressure of the particles is zero .
Absolute_zero	If we plot a graph to it , we can see that the temperature of the particles is zero .
Absolute_zero	The temperature can not go down any further .
Absolute_zero	Also , the particles can not move in `` reverse '' either because as the movement of particles is vibration , vibrating in reverse would be nothing but simply vibrating again .
Absolute_zero	The closer the temperature of an object gets to absolute zero , the less resistive the material is to electricity therefore it will conduct electricity almost perfectly , with no measurable resistance .
Absolute_zero	The Third Law of Thermodynamics says that nothing can ever have a temperature of absolute zero .
Absolute_zero	The Second Law of Thermodynamics says that all engines that are powered by heat ( like car engines and steam train engines ) must release waste heat and ca n't be 100 % efficient .
